Stand	ForestType	TreeID	DBH	H	StemSection	buttH	topH	topD	buttD	KnotClusterCount	KnotClusterDistanceAverage	KnotVolume	KnotIndex	KnotSizeIndex
11	OMT	1101	24.8	24.3	2	547	1094	159.94	200	7	562	2.661	0.0185	0.3801
11	OMT	1101	24.8	24.3	3	1096.3	1643.3	149.65	186	6	560	3.816	0.0329	0.636
11	OMT	1102	29.7	27	1	0	427.5	237.29	309	10	282	7.772	0.0335	0.7772
11	OMT	1102	29.7	27	2	427.5	855	150.5	265	16	147	29.167	0.1527	1.8229
11	OMT	1102	29.7	27	3	947.1	1374.6	212.79	244	6	481	8.317	0.047	1.3862
11	OMT	1102	29.7	27	4	1376.3	1803.8	171.38	220	10	385	8.927	0.0516	0.8927
11	OMT	1103	29.4	24.4	1	0	518.4	296.8	395	12	279	15.682	0.0351	1.3068
11	OMT	1103	29.4	24.4	2	518.4	1036.8	242.32	303	18	175	9.497	0.0415	0.5276
11	OMT	1103	29.4	24.4	3	946.5	1464.9	212.22	244	11	330	6.755	0.0334	0.6141
11	OMT	1103	29.4	24.4	4	1436.9	1955.3	153.8	214	18	205	12.848	0.0857	0.7138
11	OMT	1104	34.1	28.2	1	0	428.7	297.21	349	12	222	8.537	0.0251	0.7114
11	OMT	1104	34.1	28.2	2	428.7	857.4	264.67	299	8	315	13.945	0.0486	1.7431
11	OMT	1104	34.1	28.2	3	860.2	1288.9	212.65	270	7	448	10.168	0.0377	1.4526
11	OMT	1104	34.1	28.2	4	1410.6	1839.3	157.92	215	6	329	7.959	0.0647	1.3265
11	OMT	1105	22.6	23.4	1	0	488.7	155.23	189	11	313	6.162	0.0531	0.5602
11	OMT	1106	20.5	22.9	1	0	461.8	186.66	236	12	264	5.6	0.0341	0.4667
11	OMT	1106	20.5	22.9	2	461.8	923.6	173.07	197	8	340	4.235	0.0282	0.5294
11	OMT	1107	22.9	22.7	1	0	457.8	187.31	250	9	341	3.245	0.0224	0.3606
11	OMT	1108	33	24.9	1	0	430.9	260.79	315	13	215	11.179	0.0407	0.8599
11	OMT	1108	33	24.9	2	430.9	861.8	215.39	261	12	254	13.601	0.061	1.1334
11	OMT	1108	33	24.9	3	920.7	1351.6	155.27	214	11	278	10.995	0.0738	0.9995
11	OMT	1110	27.5	19.9	1	0	459	233	267	6	224	2.359	0.011	0.3932
11	OMT	1110	27.5	19.9	2	459	918	189.83	232	5	528	2.449	0.0165	0.4898
11	OMT	1111	37.7	25.4	1	0	457.3	303.3	374	11	281	9.369	0.0237	0.8517
11	OMT	1111	37.7	25.4	2	457.3	914.6	266.94	313	9	343	11.604	0.0368	1.2893
11	OMT	1111	37.7	25.4	3	917.9	1375.2	208.96	264	7	280	13.704	0.0703	1.9577
11	OMT	1112	25.7	21	1	0	515.6	205.21	271	6	508	3.324	0.0161	0.554
11	OMT	1113	38.9	24.2	1	0	548.7	240.95	301	14	214	19.144	0.0585	1.3674
11	OMT	1113	38.9	24.2	2	548.7	1097.4	162.18	240	13	236	14.674	0.0793	1.1288
11	OMT	1114	22	17.1	1	0	457.3	186.61	216	7	391	2.831	0.0201	0.4044
11	OMT	1116	28.1	22.1	1	0	425.3	236.16	289	5	543	2.547	0.0115	0.5094
11	OMT	1116	28.1	22.1	2	425.3	850.6	197.89	239	7	430	2.766	0.0167	0.3951
11	OMT	1117	26.2	23.8	1	0	434.3	177.7	282	10	231	3.521	0.0238	0.3521
11	OMT	1118	27.2	22.1	1	0	519	209.37	268	9	379	3.951	0.0168	0.439
11	OMT	1118	27.2	22.1	2	519	1038	159	211	7	522	5.566	0.0384	0.7951
12	OMT	1201	46.3	28.2	1	0	517.9	384.23	466	22	173	13.382	0.0196	0.6083
